DATE,REAINTRATREARAT10Y
5/1/2021,0.03694758
6/1/2021,-0.00566485
7/1/2021,0.03504108
8/1/2021,-0.26101879
9/1/2021,-0.19473087
10/1/2021,0.08790114
11/1/2021,0.16399788
12/1/2021,0.09168917
1/1/2022,0.3194951
2/1/2022,0.44159289
3/1/2022,0.34708992
4/1/2022,0.94940027
5/1/2022,1.20389776
6/1/2022,1.02509351
7/1/2022,1.06217493
8/1/2022,0.8556253
9/1/2022,1.20424868
10/1/2022,1.80553645
